SITE_NAME,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,PARISH
UMBERLEIGH COMMUNITY PRIMARY SCHOOL,,,UMBERLEIGH,DEVON,EX379AD,Chittlehampton CP
WEST DOWN SCHOOL,,WEST DOWN,ILFRACOMBE,DEVON,EX348NF,West Down CP
FORMER WEST AND EAST PUTFORD SCHOOL,,WEST PUTFORD,HOLSWORTHY,DEVON,EX227UT,West Putford CP
WINKLEIGH PRIMARY SCHOOL,FARMER FRANKS LANE,,WINKLEIGH,DEVON,EX198JQ,Winkleigh CP
WOOLACOMBE SCHOOL-MAIN SCHOOL SITE,BEACH ROAD,,WOOLACOMBE,DEVON,EX347BT,Mortehoe CP
WOOLACOMBE SCHOOL-ADJ WOOLACOMBE COURT SITE,BEACH ROAD,,WOOLACOMBE,DEVON,EX347BT,Mortehoe CP
WOOLACOMBE SCHOOL-MEADOW PLAYING FIELD,BEACH ROAD,,WOOLACOMBE,DEVON,EX347BT,Mortehoe CP
WOOLACOMBE SCHOOL-VILLAGE HALL & CAR PARK,BEACH ROAD,,WOOLACOMBE,DEVON,EX347BT,Mortehoe CP
WOOLSERY PRIMARY SCHOOL,,WOOLSERY,BIDEFORD,DEVON,EX395QS,Woolfardisworthy (Torridge) CP
YEO VALLEY PRIMARY SCHOOL-MAIN SCHOOL SITE,DERBY ROAD,,BARNSTAPLE,DEVON,EX327HB,Barnstaple CP
YEO VALLEY PRIMARY SCHOOL-PLAYING FIELD,DERBY ROAD,,BARNSTAPLE,DEVON,EX327HB,Barnstaple CP
KINGSACRE PRIMARY SCHOOL,KINGSACRE,GREENACRE,BRAUNTON,DEVON,EX331BN,Braunton CP
ABBOTSKERSWELL PRIMARY SCHOOL,,ABBOTSKERSWELL,NEWTON ABBOT,DEVON,TQ125NS,Abbotskerswell CP
ASHBURTON PRIMARY SCHOOL,WHISTLEY HILL,,ASHBURTON,DEVON,TQ137DW,Ashburton CP
BISHOPSTEIGNTON SCHOOL,COCKHAVEN CLOSE,BISHOPSTEIGNTON,TEIGNMOUTH,DEVON,TQ149RJ,Bishopsteignton CP
BLACKAWTON PRIMARY SCHOOL-MAIN SCHOOL SITE,,BLACKAWTON,TOTNES,DEVON,TQ97BE,Blackawton CP
BLACKAWTON PRIMARY SCHOOL-SCHOOL LANE PLAYING FIELD,,BLACKAWTON,TOTNES,DEVON,TQ97BE,Blackawton CP
BOVEY TRACEY PRIMARY SCHOOL-MAIN SCHOOL SITE,ABBEY ROAD,,BOVEY TRACEY,DEVON,TQ139HZ,Bovey Tracey CP
BOVEY TRACEY PRIMARY SCHOOL-PLAYING FIELD,ABBEY ROAD,,BOVEY TRACEY,DEVON,TQ139HZ,Bovey Tracey CP
BROADHEMPSTON VILLAGE PRIMARY SCHOOL-MAIN SCHOOL SITE,,BROADHEMPSTON,TOTNES,DEVON,TQ96BL,Broadhempston CP
BROADHEMPSTON VILLAGE PRIMARY SCHOOL-PLAYGROUND,,BROADHEMPSTON,TOTNES,DEVON,TQ96BL,Broadhempston CP
BROADHEMPSTON VILLAGE PRIMARY SCHOOL-VILLAGE HALL,,BROADHEMPSTON,TOTNES,DEVON,TQ96BL,Broadhempston CP
BUCKFASTLEIGH PRIMARY SCHOOL-MAIN SCHOOL SITE,BOSSELL ROAD,,BUCKFASTLEIGH,DEVON,TQ110DD,Buckfastleigh CP
CHRISTOW COMMUNITY SCHOOL,DRY LANE,CHRISTOW,EXETER,DEVON,EX67PE,Christow CP
COCKWOOD PRIMARY SCHOOL-MAIN SCHOOL SITE,COFTON HILL,COCKWOOD,EXETER,DEVON,EX68RB,Dawlish CP
COCKWOOD PRIMARY SCHOOL-VILLAGE HALL,COFTON HILL,COCKWOOD,EXETER,DEVON,EX68RB,Dawlish CP
COCKWOOD PRIMARY SCHOOL-PLAYING FIELD,COFTON HILL,COCKWOOD,EXETER,DEVON,EX68RB,Dawlish CP
DARTMOUTH ACADEMY - PRIMARY SCHOOL AND NURSERY SITE,MILTON LANE,,DARTMOUTH,DEVON,TQ69HW,Dartmouth CP
WESTCLIFF SCHOOL-MAIN SCHOOL SITE,FIRST AVENUE,,DAWLISH,DEVON,EX79RA,Dawlish CP
WESTCLIFF SCHOOL-FOOTBALL GROUND SITE,FIRST AVENUE,,DAWLISH,DEVON,EX79RA,Dawlish CP
DENBURY PRIMARY SCHOOL,WEST STREET,DENBURY,NEWTON ABBOT,DEVON,TQ126DP,Denbury and Torbryan CP
DODDISCOMBSLEIGH COMMUNITY SCHOOL,,DODDISCOMBSLEIGH,EXETER,DEVON,EX67PR,Doddiscombsleigh CP
DUNSFORD COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,,DUNSFORD,EXETER,DEVON,EX67DD,Dunsford CP
DUNSFORD COMMUNITY PRIMARY SCHOOL-VILLAGE HALL SITE,,DUNSFORD,EXETER,DEVON,EX67DD,Dunsford CP
EAST ALLINGTON PRIMARY SCHOOL,,EAST ALLINGTON,TOTNES,DEVON,TQ97RE,East Allington CP
EXMINSTER COMMUNITY PRIMARY,,EXMINSTER,EXETER,DEVON,EX68AJ,Exminster CP
HENNOCK COMMUNITY PRIMARY SCHOOL,,HENNOCK,NEWTON ABBOT,DEVON,TQ139QB,Hennock CP
IPPLEPEN PRIMARY SCHOOL-MAIN SCHOOL SITE,BILTOR ROAD,IPPLEPEN,NEWTON ABBOT,DEVON,TQ125QG,Ipplepen CP
IPPLEPEN PRIMARY SCHOOL-IPPLEPEN MILLENNIUM CENTRE,BILTOR ROAD,IPPLEPEN,NEWTON ABBOT,DEVON,TQ125QG,Ipplepen CP
KENTON PRIMARY SCHOOL-MAIN SCHOOL SITE,MAMHEAD ROAD,KENTON,EXETER,DEVON,EX68LX,Kenton CP
KENTON PRIMARY SCHOOL-PLAYING FIELD (Formerly BIS 3011 Site for new school),MAMHEAD ROAD,KENTON,EXETER,DEVON,EX68LX,Kenton CP
KINGSBRIDGE COMMUNITY PRIMARY SCHOOL,BELLE CROSS ROAD,,KINGSBRIDGE,DEVON,TQ71NL,Kingsbridge CP
KINGSWEAR COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,LOWER CONTOUR ROAD,KINGSWEAR,DARTMOUTH,DEVON,TQ60BJ,Kingswear CP
KINGSWEAR COMMUNITY PRIMARY SCHOOL-PLAYING FIELD,LOWER CONTOUR ROAD,KINGSWEAR,DARTMOUTH,DEVON,TQ60BJ,Kingswear CP
LODDISWELL PRIMARY SCHOOL-MAIN SCHOOL SITE,,LODDISWELL,KINGSBRIDGE,DEVON,TQ74QU,Loddiswell CP
LODDISWELL PRIMARY SCHOOL-PLAYING FIELD - NEW SCHOOL SITE,,LODDISWELL,KINGSBRIDGE,DEVON,TQ74QU,Loddiswell CP
MODBURY PRIMARY SCHOOL,BARRACKS ROAD,MODBURY,IVYBRIDGE,DEVON,PL210RB,Modbury CP
DECOY PRIMARY SCHOOL,DEER PARK ROAD,,NEWTON ABBOT,DEVON,TQ121DH,Newton Abbot CP
HIGHWEEK COMMUNITY PRIMARY & NURSERY SCHOOL,CORONATION ROAD,,NEWTON ABBOT,DEVON,TQ121TX,Newton Abbot CP
HAYTOR VIEW COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE (QUEENSWAY),QUEENSWAY,,NEWTON ABBOT,DEVON,TQ124BD,Newton Abbot CP
